,BIN Number,Inspector ID,R.Section of Law,R.I_CODE,R.New I_CODE
0,3061534,3055,3,0,0
1,4012207,3050,3,0,0
2,1089974,3077,3,0,0
3,3077509,2982,3,0,0
4,4607281,3050,3,0,0
5,3219270,2829,3,0,0
6,3426325,3047,3,0,0
7,1050732,2868,3,0,0
8,3155666,2984,3,0,0
9,3061648,3085,3,0,0
10,3054306,2984,3,0,0
11,3426259,3055,3,0,0
12,4043627,2884,3,0,0
13,4060472,2884,3,0,0
14,2129056,2839,9,1,1
15,2129056,2783,9,1,1
16,2011670,2865,9,1,1
17,3048528,2884,9,1,1
18,3068349,2879,9,1,1
19,3398459,2978,9,1,1
20,1071159,2839,9,1,1
21,4030484,3050,9,1,1
22,3426034,2884,9,1,1
23,3179194,2879,9,1,1
24,3421382,2829,9,1,1
25,3328935,3077,9,1,1
26,1054206,2783,9,1,1
27,3425720,2884,9,1,1
28,4537881,3050,9,1,1
29,2011669,2865,9,1,1
30,3068350,2879,9,1,1
31,3426845,3047,9,1,1
32,2057812,3053,9,1,1
33,3425443,3048,9,1,1
34,3426284,2783,9,1,1
35,1015729,3048,9,1,1
36,3053763,2841,9,1,1
37,3323023,2774,9,1,1
38,3335676,3048,9,1,1
39,3000412,2801,9,1,1
40,1055265,3073,9,1,1
41,1064211,2868,9,1,1
42,3239976,2982,9,1,1
43,3323455,2978,9,1,1
44,1090540,2868,6,2,0
45,3424892,3044,6,2,0
46,3080468,3048,6,2,2
47,1015457,2783,6,2,2
48,3061635,2987,6,2,2
49,2124649,3096,6,2,2
50,1090692,2984,6,2,2
51,1030881,2783,6,2,2
52,3808198,2958,6,2,2
53,3049186,2978,6,2,2
54,3426326,3047,6,2,2
55,4063365,2995,6,2,2
56,3060768,2774,6,2,2
57,3014802,2829,6,2,2
58,2051401,2796,6,2,2
59,3080468,3048,6,2,2
60,3018982,2995,6,2,2
61,1024947,3068,6,2,2
62,1087928,3141,6,2,2
63,2000537,2839,6,2,2
64,1090530,3141,6,2,2
65,3070197,2976,6,2,2
66,2124649,2870,6,2,2
67,3068415,3117,6,2,2
68,4002138,3050,6,2,2
69,3418326,2829,6,2,2
70,1024947,3141,6,2,2
71,3038957,3117,6,2,2
72,3064046,2881,6,2,2
73,4596930,2829,6,2,2
74,2803637,2796,6,2,2
75,2830635,2958,6,2,2
76,2830634,2958,6,2,2
77,4063365,2978,6,2,2
78,2000537,2796,6,2,2
79,3118827,3053,6,2,2
80,3323539,3053,6,2,2
81,4594862,2978,6,2,2
82,1000041,3048,6,2,2
83,4537881,3050,6,2,2
84,3071284,2958,6,2,2
85,3005470,2989,6,2,2
86,1070806,3050,6,2,2
87,3003806,2987,6,2,2
88,3009318,2796,6,2,2
89,3203146,3085,6,2,2
90,3077207,3085,6,2,2
91,2094641,2989,6,2,2
92,1090830,2796,6,2,2
93,3426845,3085,6,2,2
94,3060902,3050,6,2,2
95,3071352,2801,6,2,2
96,1022613,2801,6,2,2
97,4113424,2783,6,2,2
98,3130925,2941,6,2,2
99,1008847,2619,6,2,2
100,3425802,2958,6,2,2
101,1008847,2958,6,2,2
102,2128440,2841,6,2,2
103,1008847,2958,6,2,2
104,3021358,2941,6,2,2
105,5164579,2829,6,2,2
106,1008899,3048,6,2,2
107,4607474,2841,6,2,2
108,1042825,2978,6,2,2
109,1014575,3141,6,2,4
110,1014280,2732,6,2,4
111,1020438,3163,6,2,4
112,2012642,2783,6,2,4
113,3000208,2879,6,2,4
114,3080036,2881,6,2,4
115,1014260,2829,6,2,4
116,1017843,2783,6,2,4
117,1807834,2987,6,2,4
118,1017084,3141,6,2,4
119,1014280,2783,6,2,4
120,4596913,3077,6,2,4
121,3818775,2989,6,2,4
122,3049542,3133,6,2,4
123,3049542,3133,6,2,4
124,3049542,2783,6,2,4
125,4209575,2829,6,2,4
126,3063055,3050,6,2,4
127,4619618,2941,6,2,4
128,1050764,3086,6,2,4
129,1075884,3050,6,2,4
130,3425513,3047,6,2,4
131,1080215,3129,6,2,4
132,1813030,3141,6,2,4
133,3428569,2987,6,2,4
134,3828342,2987,6,2,4
135,3326192,2989,6,2,4
136,1001487,2989,6,2,4
137,4619571,2941,6,2,4
138,3055940,3047,6,2,5
139,2013659,2796,6,2,6
140,2013658,2796,6,2,6
141,1090071,2868,6,2,6
142,4312083,2801,6,2,6
143,1077418,3080,6,2,6
144,1077418,3068,6,2,6
145,1077418,3048,6,2,6
146,4160990,3050,6,2,6
147,1015154,3129,6,2,7
148,1046294,3048,6,2,7
149,2006861,2865,6,2,7
150,3425770,2841,6,2,7
151,3062928,2958,6,2,7
152,1062334,3141,6,2,8
153,1000849,3073,6,2,8
154,1006472,2987,6,2,8
159,3119862,2829,6,2,9
160,1087118,3075,6,2,11
161,3003109,2774,6,2,11
162,3817434,3048,6,2,11
163,1040356,3141,6,2,11
164,3049520,2987,6,2,11
165,3411833,3085,6,2,11
166,2083678,2989,6,2,11
167,3053728,2995,6,2,16
168,3053728,2841,6,2,16
169,3421764,2884,6,2,17
170,1090540,3048,6,2,17
171,3014209,3084,6,2,17
172,3014209,3084,6,2,17
173,1062371,2980,6,2,17
174,4012207,3050,6,2,17
175,4015572,2958,6,2,17
176,3045592,2995,6,2,17
177,2128935,3069,6,2,17
178,1062371,3141,6,2,17
179,3045592,3048,6,2,17
180,2128935,2841,6,2,17
181,1057032,2868,6,2,17
182,1017828,2783,6,2,17
183,1080322,2829,6,2,17
184,3044200,2987,6,2,17
185,3027847,2879,6,2,17
186,4003177,2987,6,2,17
187,3132935,3044,6,2,17
188,4617796,2879,6,2,17
189,2050004,3077,6,2,17
190,3044716,2987,6,2,17
191,3330366,3044,6,2,17
192,3398476,3044,6,2,17
193,3388747,3044,6,2,17
194,4033709,2783,6,2,17
197,4004985,2978,6,2,12
198,4614981,3050,6,2,12
199,3425969,2879,6,2,12
200,3421818,3133,6,2,12
201,3421818,2801,6,2,12
202,3070772,2796,6,2,12
203,3036843,2783,6,2,12
204,1045185,3047,6,2,12
205,1030943,3047,6,2,12
206,3031866,2783,6,2,14
207,4005438,2420,6,2,14
208,4623007,2879,6,2,14
209,2008173,2783,6,2,14
210,3425733,2941,6,2,14
211,3425733,2941,6,2,14
212,4006903,2995,6,2,14
213,4006903,3117,6,2,14
214,3117889,2456,6,2,14
215,3057331,3086,6,2,14
216,3057331,3129,6,2,14
217,3062490,2456,6,2,14
218,3062490,2796,6,2,14
219,1090447,2868,6,2,14
220,3426313,2783,6,2,14
221,4174775,2783,6,2,14
222,3036844,2783,6,2,14
223,4163109,2783,6,2,14
224,1014554,2796,6,2,14
225,3119764,3084,6,2,14
226,3421818,2941,6,2,14
227,4200225,2783,6,2,14
228,3338780,2783,6,2,14
229,3413924,2780,6,2,14
234,3049747,2989,6,2,20
235,3049751,2989,6,2,20
236,3054204,2829,11,3,2
237,1015400,3141,11,3,2
238,3425883,3048,11,3,2
239,4005063,3050,11,3,2
240,1038647,2868,11,3,2
241,3425870,3053,11,3,2
242,4005637,2796,11,3,2
243,2084006,3085,11,3,2
244,1000815,3085,11,3,2
245,4614734,2829,11,3,2
246,3425955,3077,11,3,2
247,3179480,2982,11,3,2
248,3330330,3077,11,3,2
249,1090814,3044,11,3,2
250,3185913,2829,11,3,2
251,1090547,3050,11,3,2
252,2055332,2796,11,3,2
253,4017170,3085,11,3,2
254,3039163,3047,11,3,2
255,4020281,3044,11,3,2
256,3118850,3085,11,3,2
257,3063705,3086,11,3,2
258,3063705,3086,11,3,2
259,1053938,3141,11,3,2
260,4594905,2978,11,3,2
261,3063705,3058,11,3,2
262,3330494,3117,11,3,2
263,3337390,3117,11,3,2
